position,user,score
356,onionfarmerr,155
356,Samuel Huang,155
360,vitekmel,154
361,Mattéo Delabre,152
362,paladin8,151
362,Hafnium780,151
364,Vitalii Nevidomyi,150
364,Arib Chowdhury,150
366,tmiddlet ,149
366,teekaytai,149
366,kalvdans,149
369,Dragon-Hatcher,147
369,Sobhan Mohammadpour,147
369,b-paul,147
369,sagarbrathod1,147
373,teidesu,146
373,Joel Gibson,146
373,leifmetcalf,146
376,Andrew Badr,145
376,Paul Draper,145
376,Robert Nies,145
376,kermitnirmit,145
380,ast-ral,144
380,Yan Kang Lee,144
380,the-glu ,144
383,Evan Kwan,142
383,M. Penschuck,142
385,Hideyuki Tanaka,141
386,Justin Pombrio,140
387,ictrobot,139
387,Riley Borgard,139
387,Sofapuden,139
390,WYXkk,138
390,icicl,138
390,Adam Zalcman,138
393,Kevin Sun,137
394,Miriam Vellacott,136
394,João Salavisa,136
394,PhoenixReaper,136
394,ThatRedox,136
398,Md Abedin,134
398,willwam,134
398,michaelzhan1,134
398,sohcah,134
398,Shik Chen,134
398,N_z_,134
398,VasilyDK,134
398,Reinier Schmiermann,134
398,Martijn ,134
398,dancarmoz,134
408,Paul McMullin,133
408,NBonaparte,133
408,Christian Cederquist,133
408,Ben Kogan,133
408,rocket3989,133
413,Alex Wice,131
413,Yulin Shen,131
415,Joel Jonsson,130
416,Austin,129
416,Victor Chen,129
416,F2 ,129
419,Matt Gruskin ,127
419,meexwaal,127
419,psun256,127
422,chunkybanana,126
423,anonymous user #2375057,124
423,bunceandbean,124
423,carro,124
423,Dan Sanders,124
427,Tsu-Hao Liu,123
427,jaredtrh,123
429,anonymous user #2724128,122
429,Martin Camacho,122
429,Craig Silverstein,122
429,Khanh Hiep Tran,122
429,most90,122
429,Srđan Tot,122
435,piman51277,121
436,thomasranieri,120
437,mebeim,119
437,Ben Zydney,119
437,Benedikt Werner,119
437,James Leung,119
441,alexirpan,118
442,Jeffrey Meng,117
443,startrekdude,116
443,AdamHe17 ,116
